Character,Species,Gender,Dietary_Type,Alignment
Bonnie Hopps,Rabbit,female,herbivore,good
Bucky Oryx-Antlerson,Kudu,male,herbivore,neutral
Chief Bogo,Cape buffalo,male,herbivore,good
Cotton,Rabbit,female,herbivore,good
Dawn Bellwether,Domestic Sheep,female,herbivore,neutral
Dharma Armadillo,Armadillo,female,omnivore,neutral
Dr. Madge Honey Badger,Honey Badger,female,omnivore,neutral
Duke Weaselton,Weasel,male,carnivore,bad
Fabienne Growley,Snow Leopard,female,carnivore,neutral
Finnick,Fennec fox,male,omnivore,neutral
Flash Slothmore,Three-Toed Sloth,male,herbivore,good
Frantic Pig,pig,male,omnivore,neutral
Fru Fru,Arctic shrew,female,carnivore,good
Gareth,Sheep,male,herbivore,good
Gazelle,Gazelle,female,herbivore,good
Gideon Grey,Red Fox,male,omnivore,neutral
Hippo Girl,Hippopotamus,female,omnivore,neutral
Jaguar,Jaguar,male,carnivore,neutral
"Jerry Jumbeaux, Jr.",African Elephant,male,carnivore,neutral
Jesse,Sheep,male,herbivore,bad
Judy Hopps,Rabbit,female,herbivore,good
Larry,wolf,male,carnivore,neutral
Major Friedkin,Polar Bear,female,omnivore,neutral
Leodore Lionheart,lion,male,carnivore,neutral
Mouse foreman,mouse,male,omnivore,neutral
Mr. Big,Arctic Shrew,male,carnivore,neutral
Mrs. Otterton,North American river Otter,female,carnivore,good
Muzzled wolf,wolf,male,carnivore,neutral
Nangi,Indian elephant,female,herbivore,neutral
Nick Wilde,red fox,male,omnivore,good
Benjamin Clawhauser,Cheetah,male,carnivore,good
Officer Higgins,Common Hippopotamus,male,herbivore,good
Officer McHorn,Black Rhinoceros,male,herbivore,good
Peter Moosebridge,Moose,male,herbivore,neutral
Priscilla Tripletoe,Three-toed sloth,female,herbivore,good
Pronk Oryx-Antlerson,Gemsbok(Oryx),male,herbivore,neutral
Renato Manchas,Black jaguar,male,omnivore,good
Sharla,Sheep,female,herbivore,good
Stu Hopps,Rabbit,male,herbivore,good
Travis,Black-footed Ferret,male,omnivore,neutral
Woodchuck bully,Woodchuck,male,omnivore,bad
Woolter,Sheep,male,herbivore,bad
Yax,Yak,male,herbivore,good
Gary,Wolf,male,carnivore,neutral
Francine Pennington,African Elephant,female,herbivore,good
Rabbit girl,Rabbit,female,herbivore,good
Doug Ramses,Domestic Sheep,male,herbivore,bad
Parking Ticket Mouse,Mouse,female,omnivore,neutral
Stephanie Stalkinew,Leopard,female,carnivore,neutral
