id,Scene,Character,Cleaned_Sayings
1,Scene_1:_The_Carrot_Days_Talent_Show,Judy Hopps,"Fear. Treachery. Blood lust. Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable, biological urge to maim and maul, and-"
2,Scene_1:_The_Carrot_Days_Talent_Show,Judy Hopps,Ahh! Blood! Blood! Blood! And... death!
3,Scene_1:_The_Carrot_Days_Talent_Show,Judy Hopps,"Back then, the world was divided in two - vicious predators  or meek prey. But over time, we evolved and looked beyond our primitive savage ways. Now, predator and prey live in harmony. And every young mammal has multitudinous opportunities."
4,Scene_1:_The_Carrot_Days_Talent_Show,Sharla,"Yeah, I don't have to cower in a herd anymore. Instead, I can be an astronaut!"
5,Scene_1:_The_Carrot_Days_Talent_Show,Jaguar,"I don't have to be a lonely hunter anymore. Today, I can hunt for tax exemptions; I'm gonna be an actuary!"
6,Scene_1:_The_Carrot_Days_Talent_Show,Judy Hopps,"And I can make the world a better place, I am going to be... ...a police officer!"
7,Scene_1:_The_Carrot_Days_Talent_Show,Gideon Grey,Bunny cop! That is the most stupidest thing I ever heard.
8,Scene_1:_The_Carrot_Days_Talent_Show,Judy Hopps,"It may seem impossible to small minds - I'm looking at you, Gideon Grey - ...but, just two-hundred and eleven miles away, stands the great city of Zootopia, where our ancestors first joined together in peace and declared that anyone can be anything! Thank you and good night!"
9,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,"Judy, you ever wonder how your mom and me got to be so darn happy?"
10,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,Nope!
11,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,"Well, we gave up on our dreams and we settled, right, Bon?"
12,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,"Oh, yes, that's right, Stu. We settled hard."
13,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,"See, that's the beauty of complacency, Jude. If you don't try anything new, you'll never fail!"
14,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,"I like trying, actually."
15,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,"What your father means, hon, is it's gonna be difficult, impossible even, for you to become a police officer."
16,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,Right! There's never been a bunny cop.
17,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,No.
18,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,Bunnies don't do that.
19,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,Never!
20,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,Never.
21,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,"Oh... Then, I guess I'll have to be the first one! Because I am gonna make the world a better place!"
22,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,"Or, uh, heck, you know, you want to talk about making the world a better place, no better way to do it than becoming a carrot farmer."
23,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,"Yes! Your dad, me, your two-hundred seventy-five brothers and sisters, we're changing the world!"
24,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,Yeah.
25,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,One carrot at a time!
26,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,Amen to that. Carrot farming is a noble profession.
27,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,Mm-hm. Just putting the seeds in the ground.
28,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,"Ahh, at one with the soil, just getting covered in dirt."
29,Scene_2:_Judy_Confronts_Gideon,Bonnie Hopps,"You get it, honey. Yeah, but it's great to have dreams."
30,Scene_2:_Judy_Confronts_Gideon,Stu Hopps,"Yeah, just as long as you don't believe in them too much. Where'd the heck she go?"
31,Scene_2:_Judy_Confronts_Gideon,Gideon Grey,"Give me your tickets right now, or I'm gonna kick your meek little sheep butt!"
32,Scene_2:_Judy_Confronts_Gideon,Sharla,"Ow! Cut it out, Gideon!"
33,Scene_2:_Judy_Confronts_Gideon,Gideon Grey,"Baaa, baaa! What are you gonna do? Cry?"
34,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,Hey! You heard her. Cut it out.
35,Scene_2:_Judy_Confronts_Gideon,Gideon Grey,"Nice costume, loser! What crazy world are you living in where you think a bunny could be a cop?"
36,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,Kindly return my friend's tickets.
37,Scene_2:_Judy_Confronts_Gideon,Gideon Grey,"Come and get them! But watch out,  because I'm a fox, and like you said in your dumb little stage play, us predators used to eat prey! And that killer instinct's still in our DANA."
38,Scene_2:_Judy_Confronts_Gideon,Travis,"Uh, I'm pretty much sure it's pronounced D-N-A."
39,Scene_2:_Judy_Confronts_Gideon,Gideon Grey,"Don't tell me what I know, Travis!"
40,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,"You don't scare me, Gideon!"
41,Scene_2:_Judy_Confronts_Gideon,Gideon Grey,You scared now?
42,Scene_2:_Judy_Confronts_Gideon,Travis,Look at her nose twitch! She is scared!
43,Scene_2:_Judy_Confronts_Gideon,Gideon Grey,"Cry, little baby bunny, cry! Cryy- Oh, you don't know when to quit, do you? I want you to remember this moment the next time you think you will ever be anything more than just a stupid, carrot-farming, dumb bunny!"
44,Scene_2:_Judy_Confronts_Gideon,Gareth,That looks bad!
45,Scene_2:_Judy_Confronts_Gideon,Sharla,"Are you okay, Judy?"
46,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,"Yeah, yeah. I'm okay. Here you go."
47,Scene_2:_Judy_Confronts_Gideon,Sharla,Wow! You got our tickets!
48,Scene_2:_Judy_Confronts_Gideon,Gareth,"You're awesome, Judy."
49,Scene_2:_Judy_Confronts_Gideon,Sharla,Yeah! That Gideon Grey doesn't know what he's talking about!
50,Scene_2:_Judy_Confronts_Gideon,Judy Hopps,"Well, he was right about one thing: I don't know when to quit!"
51,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,"Listen up, cadets! Zootopia has twelve unique ecosystems within its city limits. Tundratown! Sahara Square! Rainforest District - to name a few! You're gonna have to master all of them before you hit the streets, or guess what? You'll be dead!"
52,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,"Scorching sandstorm! You're dead, bunny bumpkin."
53,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,One-thousand-foot fall!
54,Scene_3:_The_Zootopia_Police_Academy,Judy Hopps,Whoa!
55,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,"You're dead, carrot face!"
56,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,Frigid ice-wall!
57,Scene_3:_The_Zootopia_Police_Academy,Judy Hopps,Whoop!
58,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,"You're dead, farm girl!"
59,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,"Enormous criminal! You're dead! Dead, dead, dead!"
60,Scene_3:_The_Zootopia_Police_Academy,Judy Hopps,Whoa!
61,Scene_3:_The_Zootopia_Police_Academy,Major Friedkin,"Filthy toilet! You're dead, fluff-butt! Just quit and go home, fuzzy bunny."
62,Scene_3:_The_Zootopia_Police_Academy,Stu Hopps,There's never been a bunny cop.
