"Scene","Character","Cleaned_Sayings"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","Fear, treachery, blood lust. Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable, biological urge to maim and maul, and-"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","Ahh! Blood, blood, blood! And... death!"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","Back then, the world was divided in two - vicious predators and meek prey. Predator"" and ""Meek Prey"" lower down and cover them. The ""sc"" in ""Viscous"" is crossed out and replaced with ""ci,"" proving it was corrected to being spelled ""vicious."" Bobby plays bass notes on the hammered dulcimer heavily, then plays a light harp glissando, when Sharla the sheep in white robe-like clothing tosses confetti from a basket over the bags and prances around.] But over time, we evolved and looked beyond our primitive savage ways. Now, predator and prey live in harmony and every young mammal has multitudinous opportunities."
"Scene_1:_The_Carrot_Days_Talent_Show","Sharla","Yeah, I don't have to cower in a herd anymore. Instead, I can be an astronaut!"
"Scene_1:_The_Carrot_Days_Talent_Show","Jaguar","I don't have to be a lonely hunter anymore. Today, I can hunt for tax exemptions; I'm gonna be an actuary!"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","And I can make the world a better place, I am going to be... ...a police officer!"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Gideon Grey","Bunny cop! That is the most stupidest thing I ever heard."
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","It may seem impossible to small minds - I'm looking at you, Gideon Grey - ...but, just two-hundred and eleven miles away stands the great city of Zootopia, where our ancestors first joined together in peace and declared that anyone can be anything! Thank you and good night!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Judy, you ever wonder how your mom and me got to be so darn happy?"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","Nope!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Well, we gave up on our dreams and we settled, right, Bon?"
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","Oh, yes, that's right, Stu. We settled hard."
