"Scene","Character","Sayings"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","[initially hushed, her voice gradually increasing in volume] Fear, treachery, blood lust. Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable, biological urge to maim and maul, and-"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","Ahh! [she draws out long, red ribbons from her costume] Blood, blood, blood! [Judy falls on her back, making choking noises. She reaches for a hidden ketchup bottle and, while still laying on her back, places it upright under her arm and squeezes its contents all over her body while pretending to convulse.] And... death!"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","Back then, the world was divided in two - vicious predators [Jaguar hisses] and meek prey. [Judy gives an innocent look as her ears droop. Boxes, labeled ""Viscous [sic] Predator"" and ""Meek Prey"" lower down and cover them. The ""sc"" in ""Viscous"" is crossed out and replaced with ""ci,"" proving it was corrected to being spelled ""vicious."" Bobby plays bass notes on the hammered dulcimer heavily, then plays a light harp glissando, when Sharla the sheep in white robe-like clothing tosses confetti from a basket over the bags and prances around.] But over time, we evolved and looked beyond our primitive savage ways. [The boxes pull up and Judy and Jaguar are in white robes as well. Sharla pops a noisemaker and Judy and Jaguar hold paws] Now, predator and prey live in harmony and every young mammal has multitudinous opportunities."
"Scene_1:_The_Carrot_Days_Talent_Show","Sharla","Yeah, I don't have to cower in a herd anymore. [takes off white clothing, revealing an astronaut outfit and puts on a helmet] Instead, I can be an astronaut! [The crowd applauds as Bobby plays a slide whistle indicating alien music.]"
"Scene_1:_The_Carrot_Days_Talent_Show","Jaguar","[slightly monotone from nervousness] I don't have to be a lonely hunter anymore. [takes off robe-clothing, revealing a nice suit and tie, and takes out a pen, his voice becomes more confident.] Today, I can hunt for tax exemptions; I'm gonna be an actuary! [The crowd applauds again as Bobby plays the piano.]"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","And I can make the world a better place, I am going to be... [Bobby turns on a radio and moves his head side to side with the beat of the police music that is heard, and Judy tears off the clothing revealing a police officer's uniform] ...a police officer!"
"Scene_1:_The_Carrot_Days_Talent_Show","Young Gideon Grey","[laughs and slaps his knee, nudging Travis, who is eating peanuts] Bunny cop! That is the most stupidest thing I ever heard."
"Scene_1:_The_Carrot_Days_Talent_Show","Young Judy Hopps","[puts on a police officer's hat] It may seem impossible to small minds - I'm looking at you, Gideon Grey - [Gideon glares at her; the jungle backdrop curtain on the stage rises, revealing a colorful painted mural of Zootopia behind it. Sharla and Jaguar hold up a banner reading ""where anyone can be anything""; Bobby plays the piano in the background.] ...but, just two-hundred and eleven miles away stands the great city of Zootopia, where our ancestors first joined together in peace and declared that anyone can be anything! [Judy bows. Bobby plays the final notes on a keyboard and turns to the audience with a grin. The audience applauds. Stu closes the camcorder and he and Bonnie look at each other in concern] Thank you and good night!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Judy, you ever wonder how your mom and me got to be so darn happy?"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","[enthusiastic] Nope!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Well, we gave up on our dreams and we settled, right, Bon?"
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","Oh, yes, that's right, Stu. We settled hard."
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","See? That's the beauty of complacency, Jude. If you don't try anything new, you'll never fail!"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","I like trying, actually. [jumps on a line of hay and skips]"
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","What your father means, hun, is that it's gonna be difficult, impossible even, for you to become a police officer."
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Right! There's never been a bunny cop."
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","No."
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Bunnies don't do that."
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","Never!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Never."
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","[disappointed] Oh... [enthusiasm picks up again] Then I guess I'll have to be the first one! Because I [runs to a stand, flips off of it, and lands, striking a pose] am gonna make the world a better place!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","[laughs nervously] Or, uh, heck, you know, if you wanna talk about making the world a better place, no better way to do it than becoming a carrot farmer."
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","Yes! Your dad, me, your two-hundred seventy-five brothers and sisters, we're changing the world!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Yeah."
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","One carrot at a time!"
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Amen to that. Carrot farming is a noble profession. [as Bonnie and Stu are talking, Judy sees Sharla, Gareth, and a rabbit girl with tickets walking off; Gideon and Travis are close by and they follow them.]"
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","Mm-hm. Just putting the seeds on the ground."
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Ahh. And one with the soil, just getting covered in dirt. [Judy follows her friends and foes.]"
"Scene_2:_Judy_Confronts_Gideon","Bonnie Hopps","You get it, honey. Yeah, but it's great to have dreams."
"Scene_2:_Judy_Confronts_Gideon","Stu Hopps","Yeah, just as long as you don't believe in them too much. [They both turn to look at her, but then realize that Judy is no longer present. Stu briefly looks around] Where'd the heck she go?"
"Scene_2:_Judy_Confronts_Gideon","Young Gideon Grey","Gimme your tickets right now, or I'm gonna kick your meek little sheep butt! [hits Sharla's head]"
