"lang","word","sentiment","value"
"english","abba","positive",1
"english","ability","positive",1
"english","abovementioned","positive",1
"english","absolute","positive",1
"english","absolution","positive",1
"english","absorbed","positive",1
"english","abundance","positive",1
"english","abundant","positive",1
"english","academic","positive",1
"english","academy","positive",1
"english","acceptable","positive",1
"english","acceptance","positive",1
"english","accessible","positive",1
"english","accolade","positive",1
"english","accommodation","positive",1
"english","accompaniment","positive",1
"english","accomplish","positive",1
"english","accomplished","positive",1
"english","accomplishment","positive",1
"english","accord","positive",1
"english","accountability","positive",1
"english","accountable","positive",1
"english","accredited","positive",1
"english","accueil","positive",1
"english","accurate","positive",1
"english","ace","positive",1
"english","achieve","positive",1
"english","achievement","positive",1
"english","acknowledgment","positive",1
"english","acquire","positive",1
"english","acquiring","positive",1
"english","acrobat","positive",1
"english","action","positive",1
"english","actual","positive",1
"english","acuity","positive",1
"english","acumen","positive",1
"english","adapt","positive",1
"english","adaptable","positive",1
"english","addresses","positive",1
"english","adept","positive",1
"english","adequacy","positive",1
"english","adjunct","positive",1
"english","admirable","positive",1
"english","admiral","positive",1
"english","admiration","positive",1
"english","admire","positive",1
"english","admirer","positive",1
"english","admissible","positive",1
"english","adorable","positive",1
"english","adoration","positive",1
"english","adore","positive",1
"english","advance","positive",1
"english","advanced","positive",1
"english","advancement","positive",1
"english","advantage","positive",1
"english","advantageous","positive",1
"english","advent","positive",1
"english","adventure","positive",1
"english","adventurous","positive",1
"english","advisable","positive",1
"english","advise","positive",1
"english","adviser","positive",1
"english","advocacy","positive",1
"english","aesthetic","positive",1
"english","aesthetics","positive",1
"english","affable","positive",1
"english","affection","positive",1
"english","affiliated","positive",1
"english","affirm","positive",1
"english","affirmation","positive",1
"english","affirmative","positive",1
"english","affirmatively","positive",1
"english","affluence","positive",1
"english","affluent","positive",1
"english","afford","positive",1
"english","aga","positive",1
"english","agile","positive",1
"english","agility","positive",1
"english","agree","positive",1
"english","agreeable","positive",1
"english","agreed","positive",1
"english","agreeing","positive",1
"english","agreement","positive",1
"english","agriculture","positive",1
"english","ahead","positive",1
"english","aid","positive",1
"english","aiding","positive",1
"english","alabaster","positive",1
"english","alertness","positive",1
"english","alimentation","positive",1
"english","alive","positive",1
"english","allay","positive",1
"english","allegiance","positive",1
"english","allegro","positive",1
"english","alleviate","positive",1
"english","alleviation","positive",1
"english","allied","positive",1
"english","allowable","positive",1
"english","allure","positive",1
"english","alluring","positive",1
"english","ally","positive",1
"english","almighty","positive",1
"english","aloha","positive",1
"english","amazingly","positive",1
"english","ambassador","positive",1
"english","ambition","positive",1
"english","ameliorate","positive",1
"english","amen","positive",1
"english","amenable","positive",1
"english","amend","positive",1
"english","amends","positive",1
"english","amenity","positive",1
"english","amiable","positive",1
"english","amicable","positive",1
"english","amnesty","positive",1
"english","amour","positive",1
"english","amuse","positive",1
"english","amused","positive",1
"english","amusement","positive",1
"english","amusing","positive",1
"english","analyst","positive",1
"english","anchor","positive",1
"english","anchorage","positive",1
"english","angel","positive",1
"english","angelic","positive",1
"english","animate","positive",1
